"lang"
{
	"Language"	"TChinese"
	"Tokens"
	{
		"ADDON_GAME_NAME"	"信长之野望"
		"game_mode_15"	"信长之野望"
		"addon_game_name"	"信长之野望"
		"DOTA_Scoreboard_GoodGuys"       "织田军"
		"DOTA_Scoreboard_BadGuys"        "联合军"
		"DOTA_GoodGuysCaps"              "织田军"
		"DOTA_BadGuysCaps"               "联合军"
		"DOTA_GoodGuys"	"织田军"
		"DOTA_BadGuys"	"联合军"
		"DOTA_Winner_GoodGuys"	"织田军胜利"
		"DOTA_Winner_BadGuys"	"联合军胜利"
		"DOTA_Starting_Team_Radiant"	"织田军营"
		"DOTA_Starting_Team_Dire"	"联合军营"
		"DOTA_GoodGuysCaps"	"织田军营"
		"DOTA_BadGuysCaps"	"联合军营"
		"com_soldiercamp_2"	""
		"com_soldiercamp_2_bio"	""
		"com_ashigaru_spearmen_clone"	""
		"com_ashigaru_spearmen_clone_bio"	""
		"com_soldiercamp_3"	""
		"com_soldiercamp_3_bio"	""
		// 战法
		"DOTA_Tooltip_Ability_true_gem" "气息感测"
		"DOTA_Tooltip_Ability_true_gem_Description"	"可以测知周围900隐形的敌人"
		"DOTA_Tooltip_Ability_ninja_hole" "土遁．挖地洞之术"
		"DOTA_Tooltip_Ability_ninja_hole_Description"	"忍者把自己埋在土里以为别人就不会发现他"
		"DOTA_Tooltip_Ability_call_ninja1" "雇用下忍"
		"DOTA_Tooltip_Ability_call_ninja1_Description"	"下忍开视野"
		"DOTA_Tooltip_Ability_call_ninja2" "雇用中忍"
		"DOTA_Tooltip_Ability_call_ninja2_Description"	"中忍会打洞"
		"DOTA_Tooltip_Ability_call_ninja3" "雇用上忍"
		"DOTA_Tooltip_Ability_call_ninja3_Description"	"上忍偷爆建筑物"
		"DOTA_Tooltip_Ability_for_dispear" "隐形斩"
		"DOTA_Tooltip_Ability_for_dispear_Description"	"不攻击时自动隐形"
		"DOTA_Tooltip_Ability_tofar_goback" "走远了要回来"
		"DOTA_Tooltip_Ability_tofar_goback_Description"	"走远了要回来"
		"DOTA_Tooltip_Ability_dead_give_item" "死了掉落分灵之诺"
		"DOTA_Tooltip_Ability_dead_give_item_Description"	"死了掉落分灵之诺"
		"DOTA_Tooltip_Ability_war_magic_light" "曳光战法"
		"DOTA_Tooltip_Ability_war_magic_light_Description" "延迟1秒后打亮该地区范围600视野5秒"
		"DOTA_Tooltip_Ability_war_magic_speedup" "神速战法"
		"DOTA_Tooltip_Ability_war_magic_speedup_Description" "延迟3秒后全军加速15% 跑速"
		"DOTA_Tooltip_Ability_war_magic_slowattack" "阻挠战法"
		"DOTA_Tooltip_Ability_war_magic_slowattack_Description"	"延迟3秒后对范围800敌军缓速20% 、失误15%"
		"DOTA_Tooltip_Ability_war_magic_lessattack" "干扰战法"
		"DOTA_Tooltip_Ability_war_magic_slowattack_Description" "延迟3秒后对敌军降低30% 攻击"
		"DOTA_Tooltip_Ability_war_magic_moreattack" "强攻战法"
		"DOTA_Tooltip_Ability_war_magic_moreattack_Description" "延迟3秒后增加友军30% 攻击与30% 攻速"
		"DOTA_Tooltip_Ability_war_magic_regen" "再起战法"
		"DOTA_Tooltip_Ability_war_magic_regen_Description"	"延迟3秒后全军每秒回复40生命与20魔力持续20秒"
		"DOTA_Tooltip_Ability_war_magic_gohome" "召集战法"
		"DOTA_Tooltip_Ability_war_magic_gohome_Description" "指定的英雄在7秒内未受到攻击的话将被召回温泉"
		"DOTA_Tooltip_Ability_war_magic_findanything" "侦隐战法"
		"DOTA_Tooltip_Ability_war_magic_findanything_Description"	"延迟3秒后侦测该范围1000的隐形敌人"
		"DOTA_Tooltip_Ability_war_magic_treecut" "砍树战法"
		"DOTA_Tooltip_Ability_war_magic_treecut_Description"	"砍掉范围500的树"
		"DOTA_Tooltip_Ability_forest_soldier_W" "绑人"
		"DOTA_Tooltip_Ability_forest_soldier_E" "隐形"
		"DOTA_Tooltip_Ability_forest_soldier_R" "爆击"
		"DOTA_Tooltip_Ability_forest_caster_W" "退魔击"
		"DOTA_Tooltip_Ability_forest_caster_E" "链锁闪电"
		"DOTA_Tooltip_Ability_forest_caster_R" "法术书"
		"DOTA_Tooltip_Ability_great_sword_of_disease_W" "抗魔结界"
		"DOTA_Tooltip_Ability_great_sword_of_disease_E" "吸魔"
		"DOTA_Tooltip_Ability_great_sword_of_disease_R" "疫病云"
		"DOTA_Tooltip_Ability_great_sword_of_disease_D" "绑人"
		"DOTA_Tooltip_Ability_great_sword_of_disease_T" "坏灭箭"
		"DOTA_Tooltip_Ability_attribute_bonus" "属性附加"
		"DOTA_Tooltip_Ability_healing_totem" "回复结界"
		"DOTA_Tooltip_Ability_for_magic_immune" "魔法免疫"
		"DOTA_Tooltip_Ability_for_move300" "守护家园的跑速"
		"DOTA_Tooltip_Ability_gunner_attack" "铁炮兵打小兵额外30%伤害、打英雄额外20%伤害"
		"DOTA_Tooltip_Ability_archer_attack" "弓箭手打建筑物额外100%伤害"
		"DOTA_Tooltip_Ability_ninja_attack" "忍者打建筑物额外50%伤害"
		"DOTA_Tooltip_Ability_soldier_Oda_top" "织田足轻上"
		"DOTA_Tooltip_Ability_soldier_Oda_mid" "织田足轻中"
		"DOTA_Tooltip_Ability_soldier_Oda_bottom" "织田足轻下"
		"DOTA_Tooltip_Ability_soldier_Unified_top" "联合足轻上"
		"DOTA_Tooltip_Ability_soldier_Unified_mid" "联合足轻中"
		"DOTA_Tooltip_Ability_soldier_Unified_bottom" "联合足轻下"
		"DOTA_Tooltip_Ability_archer_Oda_top" "织田弓箭手上"
		"DOTA_Tooltip_Ability_archer_Oda_mid" "织田弓箭手中"
		"DOTA_Tooltip_Ability_archer_Oda_bottom" "织田弓箭手下"
		"DOTA_Tooltip_Ability_archer_Unified_top" "联合弓箭手上"
		"DOTA_Tooltip_Ability_archer_Unified_mid" "联合弓箭手中"
		"DOTA_Tooltip_Ability_archer_Unified_bottom" "联合弓箭手下"
		"DOTA_Tooltip_Ability_gunner_Oda_top" "织田铁炮兵上"
		"DOTA_Tooltip_Ability_gunner_Oda_mid" "织田铁炮兵中"
		"DOTA_Tooltip_Ability_gunner_Oda_bottom" "织田铁炮兵下"
		"DOTA_Tooltip_Ability_gunner_Unified_top" "联合铁炮兵上"
		"DOTA_Tooltip_Ability_gunner_Unified_mid" "联合铁炮兵中"
		"DOTA_Tooltip_Ability_gunner_Unified_bottom" "联合铁炮兵下"
		"DOTA_Tooltip_Ability_cavalry_Oda_top" "织田骑兵上"
		"DOTA_Tooltip_Ability_cavalry_Oda_mid" "织田骑兵中"
		"DOTA_Tooltip_Ability_cavalry_Oda_bottom" "织田骑兵下"
		"DOTA_Tooltip_Ability_cavalry_Unified_top" "联合骑兵上"
		"DOTA_Tooltip_Ability_cavalry_Unified_mid" "联合骑兵中"
		"DOTA_Tooltip_Ability_cavalry_Unified_bottom" "联合骑兵下"
		"DOTA_Tooltip_Ability_" ""
		"DOTA_Tooltip_Ability_" ""
		"DOTA_Tooltip_Ability_" ""
		
		
		
		// ======================================================
		// 以下是道具
		// ======================================================
		"DOTA_Tooltip_Ability_item_the_soul_of_power" "分灵之诺"
		"DOTA_Tooltip_Ability_item_the_soul_of_power_Description" "全能力+20，死亡后可以原地复活一次但物品会消失，复活后无敌3秒。"
		
		"DOTA_Tooltip_Ability_item_the_great_sword_of_soul_hyper" "真．菊一文字则宗．太刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_soul_hyper_Description" "攻击+30， 敏捷+20， 所有能力+10 【使用】施展摄魂令目标无法行动2.5秒， 消耗法力150，等待时间55秒 <br /><font color=\"#cc0000\">会被魔法免疫解除效果</font>"
		"DOTA_Tooltip_Ability_item_liquor" "烧酒"
		"DOTA_Tooltip_Ability_item_liquor_Description" "【使用】喝下去之后可以使自身的攻击速度提升70%，持续17秒，可使用2次。<br /><font color=\"#cc0000\">魔法免疫可以使用</font>"

		"DOTA_Tooltip_Ability_item_perceive_wine" "般若汤"
		"DOTA_Tooltip_Ability_item_perceive_wine_Description" "【使用】在3.5秒内获得魔法免疫。可使用3次。"
		"DOTA_Tooltip_Ability_item_perceive_wine_hyper" "抗魔"
		"DOTA_Tooltip_Ability_item_perceive_wine_hyper_Description" "【使用】在10秒内获得魔法免疫。可使用2次。"

		"DOTA_Tooltip_Ability_item_magic_ring" "法术戒指"
		"DOTA_Tooltip_Ability_item_magic_ring_Description"	"闪现到425范围内的指定地点，增加200魔力。"
		"DOTA_Tooltip_Ability_item_flash_ring" "闪光轮"
		"DOTA_Tooltip_Ability_item_flash_ring_Description"	"闪现到850范围内的指定地点，增加200魔力。"
		"DOTA_Tooltip_Ability_item_strength_ingot" "蛮力钢"
